study_id,publication_year,title,venue,ccf_2026,languages,tasks,task_subcategories,study_types,models,strategies,strategy_parents,integrated_techniques,generation_metrics,benchmarks,training_datasets,tool_names,source_links,artifact_links,code_availability_group,code_audit_date
U013,2024,A3Test: Assertion-Augmented Automated Test Case Generation,IST,B,Java,Test Generation,,Approach,PLBART;BART,Pre-training;Full FT,Model Training,Program Repair,Correct Rate;Pass Rate;Compile Rate;Syntax Rate;Method Coverage;Line Coverage;Branch Coverage;Mutation Score;Time;Cost;Readability;Code Coverage;Correct Assertion Rate (definition disputed);Test Count;Failing Test Count;Unique Method Coverage,"Defects4J fixed versions (Lang, Chart, Cli, Csv, Gson)",ATLAS continued assertion-domain pretraining; Methods2Test task fine-tuning.,A3Test,https://researchmgt.monash.edu/ws/files/629132543/621302447-oa.pdf,https://github.com/A3Test-TestCaseGeneration/A3Test,Verified implementation or experimental code,2026-09-22
U014,2024,ChatUniTest: A Framework for LLM-Based Test Generation,FSE,A,Java,Test Generation,,Approach,GPT-3.5,Zero-shot,Prompting Engineering,Program Analysis;Program Repair;Execution/Coverage Feedback,Line Coverage;Human Evaluation;Code Coverage,"Commons CLI 1.5
Commons CSV 1.10
Ecommerce commit 695a6d4
Binance Connector 2.0","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",ChatUniTest,https://arxiv.org/pdf/2305.04764,https://github.com/ZJU-ACES-ISE/ChatUniTest,Verified implementation or experimental code,2026-09-22
U015,2024,On the Evaluation of Large Language Models in Unit Test Generation,ASE,A,Java,Test Generation,,Empirical,CodeLlama;DeepSeek-Coder;GPT-4,Zero-shot;Few-shot;CoT,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair,Compile Rate;Line Coverage;Branch Coverage;Real-bug Detection;Code Coverage,Defects4J 2.0,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2406.18181,https://github.com/LeonYang95/LLM4UT,Verified implementation or experimental code,2026-09-22
U016,2024,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,TSE,A,JavaScript,Test Generation,,Approach;Empirical,GPT-3.5;Codex;StarCoder,Zero-shot,Prompting Engineering,Program Analysis;Program Repair;Information Retrieval;Execution/Coverage Feedback,Statement Coverage;Branch Coverage;Pass Rate;Non-trivial Assertion/Test Proportion;Edit Similarity;Time;Code Coverage;Test Count;Uniquely Contributing Test Proportion;Failure/Repair Proportions,"25 npm packages: 10 Nessie benchmark, 10 further GitHub projects, 5 GitLab projects","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TestPilot,https://www.franktip.org/pubs/testpilot2024.pdf,https://github.com/githubnext/testpilot,Verified implementation or experimental code,2026-09-22
U017,2026,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,TOSEM,A,Python;Java,Test Generation,,Approach,CodeLlama;DeepSeek-Coder;GPT-4,CoT,Prompting Engineering,Program Analysis;SBST Tools;Execution/Coverage Feedback,Branch Coverage;Line Coverage;Syntax Rate;Pass Rate;Time;Code Coverage;Failure-type Distribution;Hard-to-cover Branch Coverage,"CodaMOSA/Pynguin benchmark:27 Python projects
Defects4J:Chart,Time,Lang,Math
Three internal Huawei Java17 projects:PATool,MicroService,DAService","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TELPA,https://arxiv.org/pdf/2404.04966,https://zenodo.org/records/15410112,Verified implementation or experimental code,2026-09-22
U018,2025,LLM-Powered Test Case Generation for Detecting Bugs in Plausible Programs,ACL,A,C++;Python,Test Generation,,Approach;Empirical,GPT-3.5;DeepSeek-V3,Zero-shot;Few-shot,Prompting Engineering,Differential Testing,Precision;Recall;F1;False-positive Count,"TrickyBugs
EvalPlus","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TrickCatcher,https://aclanthology.org/2025.acl-long.20.pdf,https://github.com/RinCloud/TrickCatcher/,Verified implementation or experimental code,2026-09-22
U019,2024,Evaluating and Improving ChatGPT for Unit Test Generation,FSE,A,Java;Python,Test Generation,,Approach;Empirical,GPT-3.5;CodeLlama,Zero-shot;CoT,Prompting Engineering,Program Analysis;Program Repair;Information Retrieval,Syntax Rate;Compile Rate;Pass Rate;Statement Coverage;Branch Coverage;Readability;Human Quality;Time;Edit Similarity;Code Coverage;Assertion Count;Repair Iterations,"1000focal-testpairsfrom185JavaCodeSearchNetprojects
100additionalheldoutpairs
zappos-json
tabula-java
jInstagram
HumanEval",Main method has no model-weight training; CodeT5 comparison baseline is fine-tuned. Baseline training corpus not separately resolved in existing record.,CHatTester,https://mingwei-liu.github.io/assets/pdf/FSE24_chatTester_cameraReady.pdf,https://github.com/FudanSELab/ChatTester/tree/main,Verified implementation or experimental code,2026-09-22
U020,2025,CasModaTest: A Cascaded and Model-agnostic Self-directed Framework for Unit Test Generation,ISSRE,B,Java,Test Generation,,Approach,GPT-3.5;GPT-4;CodeLlama;DeepSeek-Coder,Few-shot,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair;Execution/Coverage Feedback,Correct Rate;Method Coverage;Time;Code Coverage;Repair Iterations,"Defects4J: Cli, Csv, Gson, Chart, Lang","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",CasModaTest,https://arxiv.org/html/2406.15743v1,,Accessible author code not verified,2026-09-22
U022,2024,Effective test generation using pre-trained Large Language Models and mutation testing,IST,B,Python,Test Generation,,Approach,Codex;Llama 2,Zero-shot;Few-shot,Prompting Engineering,Mutation Testing;Program Repair;Execution/Coverage Feedback,Mutation Score;Synthetic-bug Detection;Syntax Rate;Time;Killed Mutant Count;Test Count;Assertion Error Rate;Repair Success Rate;Buggy-solution Detection,"HumanEval164Pythonfunctions
Refactory5assignments1710studentbuggyprograms","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",MuTAP,https://arxiv.org/pdf/2308.16557v1,https://github.com/ExpertiseModel/MuTAP,Verified implementation or experimental code,2026-09-22
U023,2024,Optimizing Search-Based Unit Test Generation with Large Language Models: An Empirical Study,Internetware,C,Python,Test Generation,,Empirical,CodeLlama,Zero-shot,Prompting Engineering,SBST Tools;Execution/Coverage Feedback,Line Coverage;Branch Coverage;Code Coverage;Coverage Progression,CODAMOSA benchmark (Pynguin and BugsInPy origin),Not applicable: no task-specific training,Not recorded or no standalone tool name; not used as a core statistical dimension,https://doi.org/10.1145/3671016.3674813,,Accessible author code not verified,2026-09-22
U024,2024,Domain Adaptation for Code Model-based Unit Test Case Generation,ISSTA,A,Java,Test Augmentation,,Approach,CodeT5,Full FT,Model Training,Program Analysis;SBST Tools;Program Repair,Not applicable (task does not include Test Generation),"Methods2Test (task fine-tuning)
Defects4J:compress,gson,JacksonCore,JacksonDatabind,jsoup",Methods2Test for task fine-tuning; existing developer tests from five Defects4J projects for project adaptation (80/20 unique-test split).,Not recorded or no standalone tool name; not used as a core statistical dimension,https://www.eecs.yorku.ca/~wangsong/papers/issta24.pdf,https://github.com/shinjh0849/unit_tc_generation,Verified implementation or experimental code,2026-09-22
U025,2026,Reference-Based Retrieval-Augmented Unit Test Generation,TOSEM,A,Java,Test Generation,,Approach,DeepSeek-V2.5,Few-shot;CoT;Zero-shot,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair;Execution/Coverage Feedback,Pass Rate;Line Coverage;Branch Coverage;Time;Test Smells;Assertion Quality;Code Coverage;Test Count;Additional Mock Count,"name: Custom12Java GitHub repositories；scale: 1515 focal methods; 4fromHITS/ChatUniTest plus8new crawled projects; >=150stars/recent updates；projects: binance-connector-java
commons-collections
commons-cli
morel
datafaker
cucumber-expressions
openapi-diff
commons-dbutils
commons-validator
jsoup
rtree
ice4j","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",APT,https://gaoxiang9430.github.io/papers/TOSEM25_RefTest.pdf,https://github.com/PAGTest-project/PAGTest,Verified implementation or experimental code,2026-09-22
U026,2025,ChatAssert: LLM-based Test Oracle Generation with External Tools Assistance,TSE,A,Java,Test Oracle Generation,Assertion Oracle Generation,Approach,GPT-3.5;Mistral;Magicoder;Codestral,Zero-shot;Few-shot,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair;Execution/Coverage Feedback,Not applicable (task does not include Test Generation),TECO dataset,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",ChatAssert,https://ihayet.github.io/assets/pdf/chatassert.pdf,https://github.com/ncsu-swat/chatassert,Verified implementation or experimental code,2026-09-22
U027,2023,Retrieval-Based Prompt Selection for Code-Related Few-Shot Learning,ICSE,A,Java,Test Oracle Generation,Assertion Oracle Generation,Approach,Codex,Few-shot;Zero-shot,Prompting Engineering,Information Retrieval,Not applicable (task does not include Test Generation),ATLAS AGraw,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://people.ece.ubc.ca/amesbah/resources/papers/cedar-icse23.pdf,https://github.com/prompt-learning/cedar,Verified implementation or experimental code,2026-09-22
U028,2023,Using Transfer Learning for Code-Related Tasks,TSE,A,Java,Test Oracle Generation,Assertion Oracle Generation,Empirical,T5,Pre-training;Full FT,Model Training,Program Analysis,Not applicable (task does not include Test Generation),"name: ATLAS/Watson Java Test-AssertPairs；scale: AGraw train150523/validation18816/test18815; AGabs train126477/validation15809/test15810 (relatedrepresentations,notindependenttestpopulations)
name: CodeSearchNet-derived pretraining；scale: 2672423deduplicatedinstances=1569773rawJavamethods+766126abstractedmethods+336524technicalNL; nottestevalsize","CodeSearchNet-derived code/NL pretraining; ATLAS/Watson raw and abstracted training splits. These representations overlap, not independent datasets.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2206.08574v1,https://github.com/antonio-mastropaolo/TransferLearning4Code,Verified implementation or experimental code,2026-09-22
U029,2025,Automated Test Case Repair Using Language Models,TSE,A,Java,Test Evolution,,Approach,CodeT5+;PLBART;CodeGen,Full FT,Model Training,Program Analysis;Information Retrieval,Not applicable (task does not include Test Generation),"name: TaRBench；scale: 45373validrepairs59projects,totalnotheldoutsize;train36639validation1631test7103 chronologicalwithinproject
name: CEPROTcompatiblesubset；scale: 214of520evalinstances; incompatible/invalid/multihunk casesexcluded","TaRBench: 36,639 training, 1,631 validation, 7,103 testing repair examples; chronological project splits.",TARGET,https://arxiv.org/pdf/2401.06765v4,https://github.com/Ahmadreza-SY/TaRGet,Verified implementation or experimental code,2026-09-22
U030,2024,Augmenting LLMs to Repair Obsolete Test Cases with Static Collector and Neural Reranker,ISSRE,B,Java,Test Evolution,,Approach,GPT-4,Few-shot;CoT;Zero-shot,Prompting Engineering,Program Analysis;Information Retrieval,Not applicable (task does not include Test Generation),name: CEPROT-derivedSynBCtestrepairbenchmark；scale: 520CEPROTheldoutpairs128projects→211signaturechange candidates→cleaned/augmented137samples54projects; resultsuse136denominator,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",SYNBCIATR,https://hanada31.github.io/pdf/issre24_synter.pdf,https://github.com/nonsense-j/SynTeR,Verified implementation or experimental code,2026-09-22
U032,2026,TestBench: Evaluating Class-Level Test Case Generation Capability of Large Language Models,FCS,B,Java,Test Generation,,Benchmark,CodeLlama;GPT-3.5;GPT-4,Zero-shot,Prompting Engineering,Program Analysis;Program Repair,Syntax Rate;Compile Rate;Pass Rate;Line Coverage;Mutation Score;Code Coverage;Meaningless Test Case Rate;Failure-type Distribution,"TestBench108focalfunctions/9GitHubprojects
Additional TestBench-HumanEval preliminary CodeLlama-only check, scale not_reported","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TestBench,https://arxiv.org/pdf/2409.17561v1,https://github.com/iSEngLab/TestBench,Verified implementation or experimental code,2026-09-22
U033,2023,Large Language Models are Few-shot Testers: Exploring LLM-based General Bug Reproduction,ICSE,A,Java,Bug Reproduction,,Approach,Codex,Zero-shot;Few-shot,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair,Not applicable (task does not include Test Generation),"Defects4J2.0 (750eligible bugs/17projects)
JCrashPack overlapping60crashbugs for baseline comparison
GitHub Recent Bugs (GHRB31bugs/6finalprojects)
Java-med-derived300repositories for motivation only","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Libro,https://arxiv.org/pdf/2209.11515v3,https://anonymous.4open.science/r/llm-testgen-artifact-2753,Verified implementation or experimental code,2026-09-22
U034,2023,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,ICSE,A,Python,Test Generation,,Approach,Codex,Zero-shot;Few-shot,Prompting Engineering,Program Analysis;SBST Tools;Program Repair;Execution/Coverage Feedback,Combined Line/Branch Coverage;Test Count;Time;Query Count;Generated-statement Parseability;Edit Similarity;Code Coverage,486Pythonmodules from27projects sourced from Pynguin benchmark and BugsInPy,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://www.microsoft.com/en-us/research/uploads/prod/2023/03/codamosa_icse23.pdf,https://github.com/microsoft/codamosa,Verified implementation or experimental code,2026-09-22
U035,2024,Automatic Generation of Test Cases based on Bug Reports: a Feasibility Study with Large Language Models,ICSE,A,Java,Bug Reproduction,,Empirical,ChatGPT (backend unspecified);CodeGPT,Full FT;Zero-shot,Model Training;Prompting Engineering,Not coded into the listed integration categories,Not applicable (task does not include Test Generation),"name: Defects4Jbugreports；scale: 342reports6projects:Chart6Cli30Closure127Lang60Math100Time19
name: Newlyreportedbugs；scale: 38bugs5projects:Cli3Lang12Math5JacksonDatabind5Jsoup13","CodeGPT training corpus, split and size not reported in the two-page formal version read.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://orbilu.uni.lu/bitstream/10993/65665/1/3639478.3643119.pdf,,Accessible author code not verified,2026-09-22
U036,2024,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,ASE,A,Java,Test Generation,,Approach,GPT-3.5,Few-shot;CoT,Prompting Engineering,Program Analysis;Program Repair;Execution/Coverage Feedback,Line Coverage;Branch Coverage;Pass Rate;Compile Rate (evidence unresolved);Test Count;Code Coverage,"CustomcomplexJava-methoddataset:CLI,CSV,Gson,commons-codec,collections4,JDom2,Datafaker,event-ruler,windward,batch-processing-gateway","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",HITS,https://arxiv.org/pdf/2408.11324v1,https://anonymous.4open.science/r/SlicePromptTest4J-6CF1/,Verified implementation or experimental code,2026-09-22
U038,2024,TestART: Improving LLM-based Unit Test via Co-evolution of Automated Generation and Repair Iteration,arXiv,Not applicable (preprint),Java,Test Generation,,Approach,GPT-3.5,Zero-shot,Prompting Engineering,Program Analysis;Program Repair;Execution/Coverage Feedback,Syntax Rate;Compile Rate;Pass Rate;Line Coverage;Branch Coverage;Mutation Score;Test Count;Time;Cost;Code Coverage;Test Strength;Assertion Count,"Defects4J-derived projects (not Defects4J buggy/fixed pair evaluation)
HITS-derived projects (all selected public methods, not HITS's 120-method subset)
Four private Huawei projects","Main TestART has no fine-tuning; A3Test baseline retrained on Methods2Test, actual training subset size not reported.",TestART,https://arxiv.org/pdf/2408.03095v6,https://github.com/sikygu/TestART,Verified implementation or experimental code,2026-09-22
U039,2024,An LLM-based Readability Measurement for Unit Tests' Context-aware Inputs,arXiv,Not applicable (preprint),Java,Test Readability Improvement;Test Generation,,Approach,GPT-4;GPT-3.5,Few-shot,Prompting Engineering,Program Analysis;SBST Tools;Execution/Coverage Feedback,Parameter Coverage;Readability;C3 Coverage;C3 Invocation Coverage,"DynaMOSA benchmark subset
Seven additional public Java projects
Five-project 30-class readability evaluation subset","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",C3,https://arxiv.org/pdf/2407.21369v2,https://zenodo.org/records/13254261,Verified implementation or experimental code,2026-09-22
U040,2023,Neural-Based Test Oracle Generation: A Large-scale Evaluation and Lessons Learned,FSE,A,Java,Test Oracle Generation,Whole Oracle Generation,Empirical,CodeBERT,Existing-model reuse (no new training or prompting experiment),Existing-model reuse (no new training or prompting experiment),Program Analysis;SBST Tools,Not applicable (task does not include Test Generation),"Defects4J (original TOGA replication)
25publicJavaapplications:8EvoSuitebenchmark+17ApacheCommons","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2307.16023v2,https://doi.org/10.6084/m9.figshare.21973091.v4,Verified implementation or experimental code,2026-09-22
U041,2024,Harnessing the Power of LLMs: Automating Unit Test Generation for High-Performance Computing,arXiv,Not applicable (preprint),C++,Test Generation;Test Completion,,Approach,InstructGPT;GPT-3.5,Zero-shot,Prompting Engineering,Program Analysis;Program Repair,Compile Rate;Pass Rate;Line Coverage;Branch Coverage;Test Smells;Code Coverage,"SevenpublicHPCprojects:Optim,DBCSR,Arraymancer,CTranslate2,FAASM,AMGCL,Stats","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2407.05202v1,,Accessible author code not verified,2026-09-22
U042,2025,CoverUp: Effective High Coverage Test Generation for Python,FSE,A,Python,Test Generation,,Approach,GPT-4o,Zero-shot,Prompting Engineering,Program Analysis;Program Repair;Execution/Coverage Feedback,Line Coverage;Branch Coverage;Combined Line/Branch Coverage;Query Count;Token Usage;Time;Cost;Code Coverage;Test Count;Success-by-iteration Distribution;Coverage-increasing Function Proportion,"CM (CodaMosa-derived)
PY (Pynguin-easy modules)
MT (HumanEval-derived)","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",CoverUp,https://raw.githubusercontent.com/plasma-umass/coverup-eval/main/CoverUp.pdf,https://github.com/plasma-umass/coverup-eval,Verified implementation or experimental code,2026-09-22
U043,2025,Enhancing Large Language Models for Text-to-Testcase Generation,JSS,B,Java,Test Generation,,Approach,GPT-3.5;BLOOM;CodeT5;InCoder;StarCoder;CodeGemma;CodeLlama;Gemini (version unspecified),Fine-tuning (type unspecified);Zero-shot,Model Training;Prompting Engineering,Program Analysis;Program Repair,Compile Rate;Pass Rate;Line Coverage;Mutation Score;Cost;Readability;Human Quality;Code Coverage;Perceived Usability;Adoption Intention,"Methods2Test-deriveddescription/testcorpus
FivepublicJavaprojects:CommonsLang3.12.0,CommonsCli1.5.0,CommonsCsv1.10.0,Gson2.10.1,JFreeChart1.5.4","Methods2Test-derived description/JUnit corpus: reported 97,800 training / 32,600 validation / 32,600 testing.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2402.11910v2,https://github.com/LLMforTDD/LLMforTDD,Verified implementation or experimental code,2026-09-22
U044,2024,Automated Unit Test Improvement using Large Language Models at Meta,FSE,A,Kotlin,Test Augmentation,,Approach,Unnamed proprietary LLM,Zero-shot,Prompting Engineering,Not coded into the listed integration categories,Not applicable (task does not include Test Generation),"PrivateInstagramReels/StoriesKotlincomponents
PrivateInstagram/Facebooktest-a-thonproductiontests","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TestGen-LLM,https://discovery.ucl.ac.uk/id/eprint/10199775/1/RPS3.pdf,,Accessible author code not verified,2026-09-22
U045,2024,Code-Aware Prompting: A study of Coverage Guided Test Generation in Regression Setting using LLM,FSE,A,Python,Test Generation,,Approach,CodeGen2;GPT-4,Zero-shot;CoT,Prompting Engineering,Program Analysis;Program Repair,Pass Rate;Correct Rate;Line Coverage;Branch Coverage;Path-following Accuracy;Code Coverage;Focal-call Success Rate,"26publicPythonprojectsfrompriorCodaMosa/PynguinandBugsInPy benchmarks
ThreeprojectsnotfoundinTheStack byAmIInTheStack","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",SymPrompt,https://arxiv.org/pdf/2402.00097v2,,Accessible author code not verified,2026-09-22
U046,2026,Retrieval-Augmented Test Generation: How Far Are We?,ICSE,A,Python,Test Generation,,Empirical,GPT-3.5;GPT-4o;Mixtral;Llama 3.1,Zero-shot,Prompting Engineering,Information Retrieval,Syntax Rate;Execution Rate;Pass Rate;Line Coverage;Real-bug Detection;Code Coverage,"Self-curated ML/DL library API benchmark: TensorFlow 2.16.1, PyTorch 2.6.0, scikit-learn 1.5.0, JAX 0.4.28, XGBoost 2.1.0","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2409.12682v2,https://github.com/shinjh0849/api_guided_testgen,Verified implementation or experimental code,2026-09-22
