dimension,category,study_id
year,2025,U185
year,2025,U189
year,2025,U191
year,2025,U205
year,2024,SN009
year,2024,U013
year,2024,U014
year,2024,U015
year,2024,U016
year,2024,U019
year,2024,U022
year,2024,U023
year,2024,U024
year,2024,U030
year,2024,U035
year,2024,U036
year,2024,U038
year,2024,U039
year,2024,U041
year,2024,U044
year,2024,U045
year,2024,U047
year,2024,U048
year,2024,U049
year,2024,U050
year,2024,U052
year,2024,U053
year,2024,U056
year,2024,U060
year,2024,U061
year,2024,U063
year,2024,U065
year,2024,U067
year,2024,U070
year,2024,U072
year,2024,U074
year,2024,U079
year,2024,U080
year,2024,U081
year,2024,U084
year,2024,U087
year,2024,U090
year,2024,U093
year,2024,U095
year,2024,U101
year,2024,U188
year,2023,U004
year,2023,U006
year,2023,U007
year,2023,U008
year,2023,U010
year,2023,U012
year,2023,U027
year,2023,U028
year,2023,U033
year,2023,U034
year,2023,U040
year,2023,U083
year,2023,U089
year,2023,U103
year,2022,U005
year,2022,U011
year,2021,U002
venue,arXiv,SN005
venue,arXiv,SN011
venue,arXiv,SN012
venue,arXiv,SN013
venue,arXiv,SN014
venue,arXiv,U002
venue,arXiv,U007
venue,arXiv,U038
venue,arXiv,U039
venue,arXiv,U041
venue,arXiv,U065
venue,arXiv,U067
venue,arXiv,U072
venue,arXiv,U074
venue,arXiv,U079
venue,arXiv,U080
venue,arXiv,U094
venue,arXiv,U099
venue,arXiv,U191
venue,arXiv,U204
venue,arXiv,U205
venue,arXiv,U213
venue,arXiv,U214
venue,arXiv,U215
venue,arXiv,U216
venue,arXiv,U217
venue,arXiv,U219
venue,arXiv,U220
venue,arXiv,U221
venue,arXiv,U222
venue,arXiv,U223
venue,arXiv,U224
venue,arXiv,U225
venue,arXiv,U226
venue,arXiv,U229
venue,arXiv,U230
venue,arXiv,U231
venue,arXiv,U232
venue,arXiv,U233
venue,arXiv,U234
venue,arXiv,U235
venue,ICSE,U005
venue,ICSE,U008
venue,ICSE,U027
venue,ICSE,U033
venue,ICSE,U034
venue,ICSE,U035
venue,ICSE,U046
venue,ICSE,U050
venue,ICSE,U055
venue,ICSE,U057
venue,ICSE,U058
venue,ICSE,U066
venue,ICSE,U096
venue,ICSE,U100
venue,ICSE,U105
venue,ICSE,U107
venue,ICSE,U115
venue,ICSE,U116
venue,ICSE,U117
venue,ICSE,U118
venue,ICSE,U120
venue,ICSE,U122
venue,ICSE,U123
venue,ICSE,U124
venue,ICSE,U125
venue,ICSE,U126
venue,ICSE,U127
venue,ICSE,U167
venue,ICSE,U169
venue,ASE,SN001
venue,ASE,U004
venue,ASE,U006
venue,ASE,U015
venue,ASE,U036
venue,ASE,U049
venue,ASE,U103
venue,ASE,U136
venue,ASE,U137
venue,ASE,U140
venue,ASE,U141
venue,ASE,U171
venue,ASE,U172
venue,ASE,U173
venue,ASE,U174
venue,ASE,U175
venue,ASE,U176
venue,ASE,U177
venue,ASE,U178
venue,ASE,U179
venue,ASE,U185
venue,FSE,U014
venue,FSE,U019
venue,FSE,U040
venue,FSE,U042
venue,FSE,U044
venue,FSE,U045
venue,FSE,U064
venue,FSE,U078
venue,FSE,U095
venue,FSE,U102
venue,FSE,U104
venue,FSE,U128
venue,FSE,U129
venue,FSE,U130
venue,FSE,U131
venue,FSE,U132
venue,FSE,U133
venue,FSE,U134
venue,FSE,U135
venue,ISSTA,U024
venue,ISSTA,U063
venue,ISSTA,U088
venue,ISSTA,U089
venue,ISSTA,U110
venue,ISSTA,U111
venue,ISSTA,U142
venue,ISSTA,U145
venue,ISSTA,U146
venue,ISSTA,U147
venue,ISSTA,U148
venue,ISSTA,U149
venue,ISSTA,U153
venue,ISSTA,U154
venue,ISSTA,U155
venue,ISSTA,U180
venue,TSE,U016
venue,TSE,U026
venue,TSE,U028
venue,TSE,U029
venue,TSE,U048
venue,TSE,U071
venue,TSE,U082
venue,TSE,U084
venue,TSE,U087
venue,TSE,U090
venue,TSE,U093
venue,TSE,U108
venue,TSE,U156
venue,TSE,U181
venue,TSE,U182
venue,TSE,U188
venue,TOSEM,U017
venue,TOSEM,U025
venue,TOSEM,U051
venue,TOSEM,U086
venue,TOSEM,U109
venue,TOSEM,U119
venue,TOSEM,U157
venue,TOSEM,U158
venue,TOSEM,U159
venue,TOSEM,U160
venue,TOSEM,U162
venue,TOSEM,U163
venue,TOSEM,U165
venue,TOSEM,U166
venue,ICST,SN010
venue,ICST,U075
venue,ICST,U077
venue,ICST,U097
venue,ICST,U198
venue,ICST,U199
venue,JSS,U043
venue,JSS,U098
venue,JSS,U208
venue,JSS,U209
venue,JSS,U236
venue,ICLR,U068
venue,ICLR,U083
venue,ICLR,U201
venue,ICLR,U202
venue,IST,U013
venue,IST,U022
venue,IST,U190
venue,IST,U210
venue,SANER,U106
venue,SANER,U195
venue,SANER,U196
venue,SANER,U197
venue,ACL,U018
venue,ACL,U091
venue,ACL,U203
venue,AST,SN004
venue,AST,U011
venue,AST,U101
venue,EMSE,SN003
venue,EMSE,U211
venue,EMSE,U237
venue,ICPC,U192
venue,ICPC,U193
venue,ICPC,U194
venue,ISSRE,U020
venue,ISSRE,U030
venue,ISSRE,U227
venue,AITest,U238
venue,AITest,U239
venue,COMPSAC,U206
venue,COMPSAC,U207
venue,EASE,SN017
venue,EASE,U047
venue,EMNLP,SN009
venue,EMNLP,U054
venue,FORGE,U062
venue,FORGE,U081
venue,NAACL,SN006
venue,NAACL,U073
venue,NeurIPS,SN008
venue,NeurIPS,U061
venue,APSEC,U059
venue,ASYU,U060
venue,AUSE,SN016
venue,COLM,SN007
venue,DeepTest,U009
venue,Expert Systems,U212
venue,FCS,U032
venue,FGCS,U070
venue,FaSE4Games,U053
venue,ICIC,U189
venue,ICML,U092
venue,Internetware,U023
venue,JCAL,U069
venue,JCL,SN015
venue,LLM4Code,U056
venue,OOPSLA,SN002
venue,QRS,U012
venue,SAST,U010
venue,SBES,U052
venue,SCAM,U200
ccf,A,SN001
ccf,A,SN002
ccf,A,SN008
ccf,A,U004
ccf,A,U005
ccf,A,U006
ccf,A,U008
ccf,A,U014
ccf,A,U015
ccf,A,U016
ccf,A,U017
ccf,A,U018
ccf,A,U019
ccf,A,U024
ccf,A,U025
ccf,A,U026
ccf,A,U027
ccf,A,U028
ccf,A,U029
ccf,A,U033
ccf,A,U034
ccf,A,U035
ccf,A,U036
ccf,A,U040
ccf,A,U042
ccf,A,U044
ccf,A,U045
ccf,A,U046
ccf,A,U048
ccf,A,U049
ccf,A,U050
ccf,A,U051
ccf,A,U055
ccf,A,U057
ccf,A,U058
ccf,A,U061
ccf,A,U063
ccf,A,U064
ccf,A,U066
ccf,A,U068
ccf,A,U071
ccf,A,U078
ccf,A,U082
ccf,A,U083
ccf,A,U084
ccf,A,U086
ccf,A,U087
ccf,A,U088
ccf,A,U089
ccf,A,U090
ccf,A,U091
ccf,A,U092
ccf,A,U093
ccf,A,U095
ccf,A,U096
ccf,A,U100
ccf,A,U102
ccf,A,U103
ccf,A,U104
ccf,A,U105
ccf,A,U107
ccf,A,U108
ccf,A,U109
ccf,A,U110
ccf,A,U111
ccf,A,U115
ccf,A,U116
ccf,A,U117
ccf,A,U118
ccf,A,U119
ccf,A,U120
ccf,A,U122
ccf,A,U123
ccf,A,U124
ccf,A,U125
ccf,A,U126
ccf,A,U127
ccf,A,U128
ccf,A,U129
ccf,A,U130
ccf,A,U131
ccf,A,U132
ccf,A,U133
ccf,A,U134
ccf,A,U135
ccf,A,U136
ccf,A,U137
ccf,A,U140
ccf,A,U141
ccf,A,U142
ccf,A,U145
ccf,A,U146
ccf,A,U147
ccf,A,U148
ccf,A,U149
ccf,A,U153
ccf,A,U154
ccf,A,U155
ccf,A,U156
ccf,A,U157
ccf,A,U158
ccf,A,U159
ccf,A,U160
ccf,A,U162
ccf,A,U163
ccf,A,U165
ccf,A,U166
ccf,A,U167
ccf,A,U169
ccf,A,U171
ccf,A,U172
ccf,A,U173
ccf,A,U174
ccf,A,U175
ccf,A,U176
ccf,A,U177
ccf,A,U178
ccf,A,U179
ccf,A,U180
ccf,A,U181
ccf,A,U182
ccf,A,U185
ccf,A,U188
ccf,A,U201
ccf,A,U202
ccf,A,U203
ccf,Not applicable (preprint),SN005
ccf,Not applicable (preprint),SN011
ccf,Not applicable (preprint),SN012
ccf,Not applicable (preprint),SN013
ccf,Not applicable (preprint),SN014
ccf,Not applicable (preprint),U002
ccf,Not applicable (preprint),U007
ccf,Not applicable (preprint),U038
ccf,Not applicable (preprint),U039
ccf,Not applicable (preprint),U041
ccf,Not applicable (preprint),U065
ccf,Not applicable (preprint),U067
ccf,Not applicable (preprint),U072
ccf,Not applicable (preprint),U074
ccf,Not applicable (preprint),U079
ccf,Not applicable (preprint),U080
ccf,Not applicable (preprint),U094
ccf,Not applicable (preprint),U099
ccf,Not applicable (preprint),U191
ccf,Not applicable (preprint),U204
ccf,Not applicable (preprint),U205
ccf,Not applicable (preprint),U213
ccf,Not applicable (preprint),U214
ccf,Not applicable (preprint),U215
ccf,Not applicable (preprint),U216
ccf,Not applicable (preprint),U217
ccf,Not applicable (preprint),U219
ccf,Not applicable (preprint),U220
ccf,Not applicable (preprint),U221
ccf,Not applicable (preprint),U222
ccf,Not applicable (preprint),U223
ccf,Not applicable (preprint),U224
ccf,Not applicable (preprint),U225
ccf,Not applicable (preprint),U226
ccf,Not applicable (preprint),U229
ccf,Not applicable (preprint),U230
ccf,Not applicable (preprint),U231
ccf,Not applicable (preprint),U232
ccf,Not applicable (preprint),U233
ccf,Not applicable (preprint),U234
ccf,Not applicable (preprint),U235
ccf,B,SN003
ccf,B,SN006
ccf,B,SN009
ccf,B,SN016
ccf,B,U013
ccf,B,U020
ccf,B,U022
ccf,B,U030
ccf,B,U032
ccf,B,U043
ccf,B,U054
ccf,B,U073
ccf,B,U098
ccf,B,U106
ccf,B,U190
ccf,B,U192
ccf,B,U193
ccf,B,U194
ccf,B,U195
ccf,B,U196
ccf,B,U197
ccf,B,U208
ccf,B,U209
ccf,B,U210
ccf,B,U211
ccf,B,U227
ccf,B,U236
ccf,B,U237
ccf,C,SN010
ccf,C,SN017
ccf,C,U012
ccf,C,U023
ccf,C,U047
ccf,C,U059
ccf,C,U070
ccf,C,U075
ccf,C,U077
ccf,C,U097
ccf,C,U189
ccf,C,U198
ccf,C,U199
ccf,C,U200
ccf,C,U206
ccf,C,U207
ccf,C,U212
ccf,Not listed in CCF,SN004
ccf,Not listed in CCF,SN007
ccf,Not listed in CCF,U009
ccf,Not listed in CCF,U010
ccf,Not listed in CCF,U011
ccf,Not listed in CCF,U052
ccf,Not listed in CCF,U053
ccf,Not listed in CCF,U056
ccf,Not listed in CCF,U060
ccf,Not listed in CCF,U062
ccf,Not listed in CCF,U069
ccf,Not listed in CCF,U081
ccf,Not listed in CCF,U101
ccf,Not listed in CCF,U238
ccf,Not listed in CCF,U239
ccf,Not verified,SN015
language,Java,SN001
language,Java,SN003
language,Java,SN004
language,Java,SN005
language,Java,SN010
language,Java,SN011
language,Java,SN015
language,Java,SN017
language,Java,U002
language,Java,U004
language,Java,U005
language,Java,U006
language,Java,U008
language,Java,U010
language,Java,U011
language,Java,U012
language,Java,U013
language,Java,U014
language,Java,U015
language,Java,U017
language,Java,U019
language,Java,U020
language,Java,U024
language,Java,U025
language,Java,U026
language,Java,U027
language,Java,U028
language,Java,U029
language,Java,U030
language,Java,U032
language,Java,U033
language,Java,U035
language,Java,U036
language,Java,U038
language,Java,U039
language,Java,U040
language,Java,U043
language,Java,U047
language,Java,U048
language,Java,U049
language,Java,U050
language,Java,U051
language,Java,U052
language,Java,U055
language,Java,U057
language,Java,U059
language,Java,U062
language,Java,U063
language,Java,U064
language,Java,U065
language,Java,U066
language,Java,U075
language,Java,U077
language,Java,U078
language,Java,U079
language,Java,U080
language,Java,U081
language,Java,U082
language,Java,U087
language,Java,U088
language,Java,U089
language,Java,U090
language,Java,U093
language,Java,U094
language,Java,U095
language,Java,U096
language,Java,U097
language,Java,U100
language,Java,U104
language,Java,U105
language,Java,U106
language,Java,U107
language,Java,U108
language,Java,U109
language,Java,U111
language,Java,U115
language,Java,U118
language,Java,U122
language,Java,U124
language,Java,U125
language,Java,U129
language,Java,U130
language,Java,U133
language,Java,U135
language,Java,U137
language,Java,U140
language,Java,U142
language,Java,U145
language,Java,U147
language,Java,U148
language,Java,U154
language,Java,U155
language,Java,U156
language,Java,U158
language,Java,U159
language,Java,U162
language,Java,U163
language,Java,U166
language,Java,U167
language,Java,U169
language,Java,U171
language,Java,U172
language,Java,U173
language,Java,U176
language,Java,U177
language,Java,U180
language,Java,U181
language,Java,U182
language,Java,U188
language,Java,U189
language,Java,U190
language,Java,U192
language,Java,U194
language,Java,U195
language,Java,U196
language,Java,U197
language,Java,U199
language,Java,U200
language,Java,U203
language,Java,U205
language,Java,U206
language,Java,U209
language,Java,U210
language,Java,U211
language,Java,U212
language,Java,U214
language,Java,U217
language,Java,U219
language,Java,U220
language,Java,U221
language,Java,U222
language,Java,U224
language,Java,U225
language,Java,U226
language,Java,U231
language,Java,U232
language,Java,U236
language,Java,U237
language,Java,U238
language,Python,SN002
language,Python,SN006
language,Python,SN007
language,Python,SN008
language,Python,SN009
language,Python,SN012
language,Python,SN013
language,Python,SN016
language,Python,U004
language,Python,U007
language,Python,U017
language,Python,U018
language,Python,U019
language,Python,U022
language,Python,U023
language,Python,U034
language,Python,U042
language,Python,U045
language,Python,U046
language,Python,U049
language,Python,U052
language,Python,U055
language,Python,U056
language,Python,U060
language,Python,U063
language,Python,U067
language,Python,U068
language,Python,U071
language,Python,U072
language,Python,U074
language,Python,U083
language,Python,U084
language,Python,U091
language,Python,U092
language,Python,U098
language,Python,U099
language,Python,U101
language,Python,U103
language,Python,U107
language,Python,U116
language,Python,U117
language,Python,U119
language,Python,U120
language,Python,U122
language,Python,U123
language,Python,U126
language,Python,U127
language,Python,U128
language,Python,U130
language,Python,U131
language,Python,U132
language,Python,U134
language,Python,U136
language,Python,U141
language,Python,U145
language,Python,U153
language,Python,U157
language,Python,U160
language,Python,U175
language,Python,U178
language,Python,U191
language,Python,U193
language,Python,U197
language,Python,U198
language,Python,U201
language,Python,U202
language,Python,U203
language,Python,U205
language,Python,U207
language,Python,U208
language,Python,U213
language,Python,U215
language,Python,U222
language,Python,U223
language,Python,U229
language,Python,U230
language,Python,U233
language,Python,U234
language,Python,U235
language,Python,U239
language,C++,U018
language,C++,U041
language,C++,U049
language,C++,U053
language,C++,U061
language,C++,U063
language,C++,U070
language,C++,U086
language,C++,U100
language,C++,U107
language,C++,U205
language,C++,U227
language,Go,U063
language,Go,U100
language,Go,U122
language,Go,U146
language,Go,U179
language,Go,U185
language,Go,U197
language,Go,U204
language,C,U049
language,C,U069
language,C,U070
language,C,U100
language,C,U110
language,C,U216
language,C,U227
language,JavaScript,U016
language,JavaScript,U052
language,JavaScript,U063
language,JavaScript,U149
language,JavaScript,U165
language,JavaScript,U203
language,Rust,U054
language,Rust,U058
language,Rust,U135
language,Rust,U174
language,Rust,U204
language,C#,U009
language,C#,U052
language,C#,U053
language,C#,U135
language,Kotlin,U044
language,Kotlin,U102
language,Ruby,U052
language,Ruby,U204
language,Verilog,SN014
language,Verilog,U073
language,Fortran,U070
language,Julia,U204
language,PHP,U204
language,Smalltalk,U052
language,SystemVerilog,U073
language,TTCN-3,U052
language,TypeScript,U149
task,Test Generation,SN001
task,Test Generation,SN003
task,Test Generation,SN005
task,Test Generation,SN006
task,Test Generation,SN007
task,Test Generation,SN008
task,Test Generation,SN009
task,Test Generation,SN010
task,Test Generation,SN011
task,Test Generation,SN012
task,Test Generation,SN013
task,Test Generation,SN015
task,Test Generation,SN016
task,Test Generation,U002
task,Test Generation,U004
task,Test Generation,U007
task,Test Generation,U009
task,Test Generation,U010
task,Test Generation,U012
task,Test Generation,U013
task,Test Generation,U014
task,Test Generation,U015
task,Test Generation,U016
task,Test Generation,U017
task,Test Generation,U018
task,Test Generation,U019
task,Test Generation,U020
task,Test Generation,U022
task,Test Generation,U023
task,Test Generation,U025
task,Test Generation,U032
task,Test Generation,U034
task,Test Generation,U036
task,Test Generation,U038
task,Test Generation,U039
task,Test Generation,U041
task,Test Generation,U042
task,Test Generation,U043
task,Test Generation,U045
task,Test Generation,U046
task,Test Generation,U047
task,Test Generation,U048
task,Test Generation,U049
task,Test Generation,U050
task,Test Generation,U053
task,Test Generation,U054
task,Test Generation,U055
task,Test Generation,U056
task,Test Generation,U058
task,Test Generation,U060
task,Test Generation,U061
task,Test Generation,U063
task,Test Generation,U065
task,Test Generation,U066
task,Test Generation,U067
task,Test Generation,U068
task,Test Generation,U069
task,Test Generation,U070
task,Test Generation,U071
task,Test Generation,U072
task,Test Generation,U077
task,Test Generation,U083
task,Test Generation,U084
task,Test Generation,U086
task,Test Generation,U088
task,Test Generation,U091
task,Test Generation,U094
task,Test Generation,U098
task,Test Generation,U100
task,Test Generation,U101
task,Test Generation,U103
task,Test Generation,U104
task,Test Generation,U105
task,Test Generation,U106
task,Test Generation,U107
task,Test Generation,U110
task,Test Generation,U115
task,Test Generation,U119
task,Test Generation,U120
task,Test Generation,U122
task,Test Generation,U124
task,Test Generation,U125
task,Test Generation,U127
task,Test Generation,U133
task,Test Generation,U135
task,Test Generation,U136
task,Test Generation,U142
task,Test Generation,U145
task,Test Generation,U146
task,Test Generation,U147
task,Test Generation,U148
task,Test Generation,U153
task,Test Generation,U154
task,Test Generation,U156
task,Test Generation,U157
task,Test Generation,U158
task,Test Generation,U159
task,Test Generation,U160
task,Test Generation,U162
task,Test Generation,U163
task,Test Generation,U165
task,Test Generation,U166
task,Test Generation,U167
task,Test Generation,U174
task,Test Generation,U175
task,Test Generation,U176
task,Test Generation,U177
task,Test Generation,U185
task,Test Generation,U189
task,Test Generation,U190
task,Test Generation,U194
task,Test Generation,U195
task,Test Generation,U196
task,Test Generation,U197
task,Test Generation,U198
task,Test Generation,U199
task,Test Generation,U200
task,Test Generation,U201
task,Test Generation,U202
task,Test Generation,U203
task,Test Generation,U204
task,Test Generation,U205
task,Test Generation,U207
task,Test Generation,U208
task,Test Generation,U209
task,Test Generation,U210
task,Test Generation,U211
task,Test Generation,U212
task,Test Generation,U213
task,Test Generation,U214
task,Test Generation,U215
task,Test Generation,U216
task,Test Generation,U219
task,Test Generation,U221
task,Test Generation,U222
task,Test Generation,U226
task,Test Generation,U227
task,Test Generation,U229
task,Test Generation,U230
task,Test Generation,U231
task,Test Generation,U233
task,Test Generation,U235
task,Test Generation,U238
task,Test Generation,U239
task,Test Oracle Generation,SN004
task,Test Oracle Generation,U005
task,Test Oracle Generation,U008
task,Test Oracle Generation,U011
task,Test Oracle Generation,U026
task,Test Oracle Generation,U027
task,Test Oracle Generation,U028
task,Test Oracle Generation,U040
task,Test Oracle Generation,U051
task,Test Oracle Generation,U054
task,Test Oracle Generation,U073
task,Test Oracle Generation,U074
task,Test Oracle Generation,U078
task,Test Oracle Generation,U079
task,Test Oracle Generation,U080
task,Test Oracle Generation,U081
task,Test Oracle Generation,U088
task,Test Oracle Generation,U089
task,Test Oracle Generation,U090
task,Test Oracle Generation,U095
task,Test Oracle Generation,U096
task,Test Oracle Generation,U097
task,Test Oracle Generation,U099
task,Test Oracle Generation,U105
task,Test Oracle Generation,U108
task,Test Oracle Generation,U109
task,Test Oracle Generation,U137
task,Test Oracle Generation,U140
task,Test Oracle Generation,U159
task,Test Oracle Generation,U173
task,Test Oracle Generation,U180
task,Test Oracle Generation,U181
task,Test Oracle Generation,U191
task,Test Oracle Generation,U224
task,Test Oracle Generation,U225
task,Test Oracle Generation,U227
task,Test Oracle Generation,U232
task,Test Augmentation,U004
task,Test Augmentation,U024
task,Test Augmentation,U044
task,Test Augmentation,U059
task,Test Augmentation,U068
task,Test Augmentation,U102
task,Test Augmentation,U118
task,Test Augmentation,U126
task,Test Augmentation,U129
task,Test Augmentation,U131
task,Test Augmentation,U141
task,Test Augmentation,U149
task,Test Augmentation,U193
task,Test Augmentation,U206
task,Test Augmentation,U220
task,Bug Reproduction,U033
task,Bug Reproduction,U035
task,Bug Reproduction,U062
task,Bug Reproduction,U082
task,Bug Reproduction,U092
task,Bug Reproduction,U116
task,Bug Reproduction,U117
task,Bug Reproduction,U123
task,Bug Reproduction,U132
task,Bug Reproduction,U178
task,Bug Reproduction,U215
task,Bug Reproduction,U223
task,Bug Reproduction,U234
task,Bug Reproduction,U237
task,Test Evolution,SN002
task,Test Evolution,U006
task,Test Evolution,U029
task,Test Evolution,U030
task,Test Evolution,U088
task,Test Evolution,U111
task,Test Evolution,U155
task,Test Evolution,U171
task,Test Evolution,U172
task,Test Evolution,U182
task,Test Evolution,U192
task,Test Evolution,U220
task,Test Evolution,U236
task,Test Repair,SN014
task,Test Repair,U071
task,Test Repair,U169
task,Test Repair,U179
task,Test Repair,U188
task,Test Repair,U203
task,Test Readability Improvement,SN017
task,Test Readability Improvement,U039
task,Test Readability Improvement,U057
task,Test Readability Improvement,U075
task,Test Smell Detection,U009
task,Test Smell Detection,U052
task,Test Smell Detection,U064
task,Test Smell Detection,U166
task,Test Completion,U004
task,Test Completion,U008
task,Test Completion,U041
task,Test Migration,U128
task,Test Migration,U130
task,Test Minimization,U087
task,Test Minimization,U134
task,Test Refactoring,U064
task,Test Refactoring,U217
task,Test-to-Code Tracing,U093
study_type,Approach,SN001
study_type,Approach,SN002
study_type,Approach,SN003
study_type,Approach,SN004
study_type,Approach,SN005
study_type,Approach,SN007
study_type,Approach,SN008
study_type,Approach,SN010
study_type,Approach,SN011
study_type,Approach,SN012
study_type,Approach,SN013
study_type,Approach,SN014
study_type,Approach,SN015
study_type,Approach,SN016
study_type,Approach,SN017
study_type,Approach,U002
study_type,Approach,U004
study_type,Approach,U005
study_type,Approach,U006
study_type,Approach,U008
study_type,Approach,U009
study_type,Approach,U011
study_type,Approach,U013
study_type,Approach,U014
study_type,Approach,U016
study_type,Approach,U017
study_type,Approach,U018
study_type,Approach,U019
study_type,Approach,U020
study_type,Approach,U022
study_type,Approach,U024
study_type,Approach,U025
study_type,Approach,U026
study_type,Approach,U027
study_type,Approach,U029
study_type,Approach,U030
study_type,Approach,U033
study_type,Approach,U034
study_type,Approach,U036
study_type,Approach,U038
study_type,Approach,U039
study_type,Approach,U041
study_type,Approach,U042
study_type,Approach,U043
study_type,Approach,U044
study_type,Approach,U045
study_type,Approach,U049
study_type,Approach,U050
study_type,Approach,U051
study_type,Approach,U054
study_type,Approach,U055
study_type,Approach,U057
study_type,Approach,U058
study_type,Approach,U059
study_type,Approach,U060
study_type,Approach,U062
study_type,Approach,U063
study_type,Approach,U064
study_type,Approach,U066
study_type,Approach,U071
study_type,Approach,U072
study_type,Approach,U074
study_type,Approach,U075
study_type,Approach,U080
study_type,Approach,U081
study_type,Approach,U082
study_type,Approach,U083
study_type,Approach,U084
study_type,Approach,U086
study_type,Approach,U087
study_type,Approach,U091
study_type,Approach,U092
study_type,Approach,U093
study_type,Approach,U094
study_type,Approach,U096
study_type,Approach,U097
study_type,Approach,U098
study_type,Approach,U099
study_type,Approach,U100
study_type,Approach,U102
study_type,Approach,U103
study_type,Approach,U104
study_type,Approach,U105
study_type,Approach,U106
study_type,Approach,U108
study_type,Approach,U109
study_type,Approach,U110
study_type,Approach,U111
study_type,Approach,U115
study_type,Approach,U116
study_type,Approach,U117
study_type,Approach,U118
study_type,Approach,U119
study_type,Approach,U120
study_type,Approach,U122
study_type,Approach,U123
study_type,Approach,U124
study_type,Approach,U125
study_type,Approach,U126
study_type,Approach,U127
study_type,Approach,U128
study_type,Approach,U129
study_type,Approach,U130
study_type,Approach,U131
study_type,Approach,U132
study_type,Approach,U133
study_type,Approach,U134
study_type,Approach,U135
study_type,Approach,U136
study_type,Approach,U137
study_type,Approach,U141
study_type,Approach,U142
study_type,Approach,U145
study_type,Approach,U146
study_type,Approach,U148
study_type,Approach,U149
study_type,Approach,U153
study_type,Approach,U154
study_type,Approach,U155
study_type,Approach,U156
study_type,Approach,U157
study_type,Approach,U158
study_type,Approach,U159
study_type,Approach,U162
study_type,Approach,U163
study_type,Approach,U165
study_type,Approach,U167
study_type,Approach,U169
study_type,Approach,U171
study_type,Approach,U172
study_type,Approach,U174
study_type,Approach,U175
study_type,Approach,U176
study_type,Approach,U178
study_type,Approach,U179
study_type,Approach,U180
study_type,Approach,U181
study_type,Approach,U182
study_type,Approach,U185
study_type,Approach,U188
study_type,Approach,U189
study_type,Approach,U190
study_type,Approach,U191
study_type,Approach,U192
study_type,Approach,U194
study_type,Approach,U195
study_type,Approach,U197
study_type,Approach,U198
study_type,Approach,U199
study_type,Approach,U200
study_type,Approach,U201
study_type,Approach,U202
study_type,Approach,U205
study_type,Approach,U209
study_type,Approach,U210
study_type,Approach,U212
study_type,Approach,U213
study_type,Approach,U214
study_type,Approach,U216
study_type,Approach,U217
study_type,Approach,U219
study_type,Approach,U220
study_type,Approach,U221
study_type,Approach,U222
study_type,Approach,U223
study_type,Approach,U225
study_type,Approach,U226
study_type,Approach,U227
study_type,Approach,U229
study_type,Approach,U231
